 BASIS_VERSION; BEREICH_NR; FGR_NR; ONR_TYP_NR; ORT_NR; SEL_ZIEL; SEL_ZIEL_TYP; SEL_FZT
20181219;0;5373;1;404701;403601;1;0
20181219;0;5373;1;403601;402601;1;60
20181219;0;5373;1;402601;403701;1;60
20181219;0;5373;1;403701;404600;1;60
20181219;0;5373;1;404600;403700;1;60
20181219;0;5373;1;403700;403501;1;0
20181219;0;5373;1;403501;408402;1;60
20181219;0;5373;1;408402;407701;1;60
20181219;0;5373;1;407701;400601;1;60
20181219;0;5373;1;400601;407200;1;60
20181219;0;5373;1;407200;101102;1;120
20181219;0;5373;1;101102;102001;1;60
20181219;0;5373;1;102001;101001;1;120
20181219;0;5373;1;101001;118101;1;60
20181219;0;5373;1;118101;106001;1;60
20181219;0;5373;1;106001;118001;1;60
20181219;0;5373;1;118001;103004;1;180
20181219;0;5373;1;103004;112102;1;180
20181219;0;5373;1;112102;117001;1;180
20181219;0;5373;1;117001;404201;1;60
20181219;0;5373;1;404201;407101;1;60
20181219;0;5373;1;407101;405601;1;60
20181219;0;5373;1;405601;408502;1;60
20181219;0;5373;1;408502;400703;1;60
20181219;0;5373;1;400703;400800;1;60
20181219;0;5373;1;400800;408901;1;60
20181219;0;5373;1;408901;407501;1;60
20181219;0;5373;1;407501;407500;1;60
20181219;0;7703;1;404702;32100;1;0
20181219;0;7703;1;32100;406001;1;60
20181219;0;7703;1;406001;302602;1;60
20181219;0;7703;1;302602;406701;1;60
20181219;0;7703;1;406701;406902;1;60
20181219;0;7703;1;406902;407909;1;60
20181219;0;7703;1;407909;405001;1;180
20181219;0;7703;1;405001;33604;1;60
20181219;0;7703;1;33604;408602;1;120
20181219;0;7703;1;408602;404400;1;60
20181219;0;7703;1;404400;408603;1;60
20181219;0;7703;1;408603;407801;1;60
20181219;0;7703;1;407801;400301;1;60
20181219;0;7703;1;400301;401202;1;60
20181219;0;7703;1;401202;400101;1;60
20181219;0;7703;1;400101;407302;1;60
20181219;0;7703;1;407302;408202;1;60
20181219;0;7703;1;408202;403104;1;120
20181219;0;7703;1;403104;112103;1;120
20181219;0;7703;1;112103;103001;1;180
20181219;0;7703;1;103001;8001;1;120
20181219;0;7703;1;8001;105001;1;60
20181219;0;7703;1;105001;34103;1;60
20181219;0;7703;1;34103;208102;1;120
20181219;0;7703;1;208102;201502;1;120
20181219;0;7703;1;201502;203904;1;120
20181219;0;7703;1;203904;204802;1;60
20181219;0;7703;1;204802;204702;1;60
20181219;0;7703;1;204702;202801;1;60
20181219;0;7703;1;202801;205201;1;60
20181219;0;7703;1;205201;205102;1;60
20181219;0;7703;1;205102;201401;1;60
20181219;0;7703;1;201401;203301;1;60
20181219;0;7703;1;203301;205701;1;120
20181219;0;7703;1;205701;200301;1;60
20181219;0;7703;1;200301;208700;1;180
20181219;0;5468;1;408703;404002;1;60
20181219;0;5468;1;404002;405502;1;60
20181219;0;5468;1;405502;409102;1;60
20181219;0;5468;1;409102;400902;1;60
20181219;0;5468;1;400902;404502;1;60
20181219;0;5468;1;404502;406401;1;60
20181219;0;5468;1;406401;405103;1;60
20181219;0;5468;1;405103;407602;1;60
20181219;0;5468;1;407602;409003;1;60
20181219;0;5468;1;409003;403803;1;60
20181219;0;5468;1;403803;101103;1;120
20181219;0;5468;1;101103;115100;1;60
20181219;0;5468;1;115100;109015;1;120
20181219;0;5468;1;109015;112104;1;120
20181219;0;5521;1;400200;400402;1;60
20181219;0;5521;1;400402;402002;1;60
20181219;0;5521;1;402002;500702;1;60
20181219;0;5521;1;500702;402204;1;60
20181219;0;5521;1;402204;402900;1;60
20181219;0;5521;1;402900;405300;1;120
20181219;0;5521;1;405300;402800;1;60
20181219;0;5521;1;402800;405100;1;60
20181219;0;5521;1;405100;405902;1;60
20181219;0;5521;1;405902;406500;1;60
20181219;0;5521;1;406500;400601;1;120
20181219;0;5521;1;400601;404300;1;60
20181219;0;5521;1;404300;407401;1;60
20181219;0;5521;1;407401;404103;1;120
20181219;0;5521;1;404103;403104;1;60
20181219;0;5521;1;403104;112101;1;180
20181219;0;5521;1;112101;103001;1;180
20181219;0;5521;1;103001;106501;1;60
20181219;0;5521;1;106501;119006;1;180
20181219;0;5521;1;119006;302501;1;120
20181219;0;5521;1;302501;303001;1;60
20181219;0;5521;1;303001;302201;1;120
20181219;0;5521;1;302201;302001;1;60
20181219;0;5521;1;302001;302100;1;120
20181219;0;4122;1;502300;502600;1;0
20181219;0;4122;1;502600;502501;1;60
