atr; BASIS_VERSION; LI_LFD_NR; LI_NR;STR_LI_VAR; ONR_TYP_NR; ORT_NR; ZNR_NR; ANR_NR; EINFANGBEREICH; LI_KNOTEN; PRODUKTIV; EINSTEIGEVERBOT; AUSSTEIGEVERBOT; INNERORTSVERBOT; BEDARFSHALT
rec;20181219;1;2;1;1;404701;0;0;0;1;1;0;0;0;0
rec;20181219;2;2;1;1;403601;0;0;0;1;1;0;0;0;0
rec;20181219;3;2;1;1;402601;0;0;0;1;1;0;0;0;0
rec;20181219;4;2;1;1;403701;0;0;0;1;1;0;0;0;0
rec;20181219;5;2;1;1;404600;0;0;0;1;1;0;0;0;0
rec;20181219;6;2;1;1;403700;0;0;0;1;1;0;0;0;0
rec;20181219;7;2;1;1;403501;0;0;0;1;1;0;0;0;0
rec;20181219;8;2;1;1;408402;0;0;0;1;1;0;0;0;0
rec;20181219;9;2;1;1;407701;0;0;0;1;1;0;0;0;0
rec;20181219;10;2;1;1;400601;0;0;0;1;1;0;0;0;0
rec;20181219;11;2;1;1;407200;0;0;0;1;1;0;0;0;0
rec;20181219;12;2;1;1;101102;0;0;0;1;1;0;0;0;0
rec;20181219;13;2;1;1;102001;0;0;0;1;1;0;0;0;0
rec;20181219;14;2;1;1;101001;0;0;0;1;1;0;0;0;0
rec;20181219;15;2;1;1;118101;0;0;0;1;1;0;0;0;0
rec;20181219;16;2;1;1;106001;0;0;0;1;1;0;0;0;0
rec;20181219;17;2;1;1;118001;0;0;0;1;1;0;0;0;0
rec;20181219;18;2;1;1;103004;0;0;0;1;1;0;0;0;0
rec;20181219;19;2;1;1;112102;0;0;0;1;1;0;0;0;0
rec;20181219;21;2;1;1;117001;0;0;0;1;1;0;0;0;0
rec;20181219;22;2;1;1;404201;0;0;0;1;1;0;0;0;0
rec;20181219;23;2;1;1;407101;0;0;0;1;1;0;0;0;0
rec;20181219;24;2;1;1;405601;0;0;0;1;1;0;0;0;0
rec;20181219;25;2;1;1;408502;0;0;0;1;1;0;0;0;0
rec;20181219;26;2;1;1;400703;0;0;0;1;1;0;0;0;0
rec;20181219;27;2;1;1;400800;0;0;0;1;1;0;0;0;0
rec;20181219;28;2;1;1;408901;0;0;0;1;1;0;0;0;0
rec;20181219;29;2;1;1;407501;0;0;0;1;1;0;0;0;0
rec;20181219;30;2;1;1;407500;0;0;0;1;1;0;0;0;0
rec;20181219;1;3;1;1;404702;0;0;0;1;1;0;0;0;0
rec;20181219;2;3;1;1;32100;0;0;0;1;1;0;0;0;0
rec;20181219;3;3;1;1;406001;0;0;0;1;1;0;0;0;0
rec;20181219;4;3;1;1;302602;0;0;0;1;1;0;0;0;0
rec;20181219;5;3;1;1;406701;0;0;0;1;1;0;0;0;0
rec;20181219;6;3;1;1;406902;0;0;0;1;1;0;0;0;0
rec;20181219;7;3;1;1;407909;0;0;0;1;1;0;0;0;0
rec;20181219;8;3;1;1;405001;0;0;0;1;1;0;0;0;0
rec;20181219;9;3;1;1;33604;0;0;0;1;1;0;0;0;0
rec;20181219;10;3;1;1;408602;0;0;0;1;1;0;0;0;0
rec;20181219;11;3;1;1;404400;0;0;0;1;1;0;0;0;0
rec;20181219;12;3;1;1;408603;0;0;0;1;1;0;0;0;0
rec;20181219;13;3;1;1;407801;0;0;0;1;1;0;0;0;0
rec;20181219;14;3;1;1;400301;0;0;0;1;1;0;0;0;0
